#{"t_start": 1753633972.2405934, "env_id": "None"}
r,l,t
105.0,23,1.73963
-33.0,30,1.787526
57.0,2,1.789365
64.0,21,1.823949
-48.0,30,1.872076
20.0,30,1.91872
-48.0,30,1.968075
40.0,22,2.001714
57.0,27,2.038752
57.0,2,2.043516
59.0,17,2.069214
54.0,8,2.084439
75.0,6,2.093442
93.0,10,2.109565
57.0,2,2.111311
53.0,15,2.131176
56.0,15,2.151662
59.0,3,2.156837
69.0,18,2.185618
54.0,8,2.195791
57.0,2,2.201318
55.0,7,2.211301
53.0,9,2.225739
62.0,11,2.24009
53.0,9,2.25405
56.0,6,2.26527
59.0,3,2.271491
63.0,7,2.28163
57.0,11,2.304008
57.0,2,2.313674
66.0,7,2.332329
57.0,2,2.33484
57.0,5,2.357374
59.0,6,2.393723
74.0,7,2.414568
57.0,2,2.41676
50.0,1,2.430647
55.0,7,2.447996
-48.0,30,2.513221
58.0,4,2.542379
48.0,25,2.6075
52.0,10,2.626913
58.0,4,2.635317
61.0,9,2.682109
55.0,7,2.714846
58.0,4,2.726106
58.0,4,2.731239
56.0,6,2.751077
60.0,10,2.767979
50.0,1,2.76898
56.0,9,2.78451
54.0,8,2.793857
55.0,7,2.80564
50.0,1,2.806495
57.0,2,2.80788
62.0,8,2.819679
59.0,3,2.822155
64.0,6,2.835147
57.0,5,2.842488
61.0,9,2.851563
55.0,7,2.864557
59.0,3,2.867051
54.0,8,2.879451
57.0,2,2.880933
72.0,6,2.891947
61.0,4,2.894683
64.0,9,2.907255
60.0,5,2.913772
56.0,6,2.922034
57.0,2,2.92679
63.0,5,2.935214
59.0,6,2.943866
59.0,9,2.957647
59.0,11,2.973493
57.0,2,2.975211
57.0,8,2.989627
59.0,3,2.99605
54.0,8,3.006678
57.0,2,3.01238
59.0,3,3.015
58.0,4,3.02145
57.0,2,3.022968
59.0,3,3.030715
58.0,4,3.03819
53.0,9,3.053885
55.0,7,3.063468
56.0,6,3.070886
56.0,6,3.078422
60.0,5,3.085315
50.0,1,3.089249
57.0,5,3.097125
57.0,5,3.105029
59.0,6,3.113815
56.0,6,3.122625
58.0,4,3.131415
61.0,4,3.139356
58.0,4,3.143427
50.0,1,3.1493
54.0,8,3.15959
60.0,5,3.166892
61.0,4,3.174512
57.0,2,3.176263
58.0,4,3.183788
50.0,1,3.184758
54.0,11,3.205711
57.0,2,3.207243
55.0,7,3.215706
58.0,4,3.22183
54.0,8,3.2344
58.0,7,3.242424
59.0,3,3.247957
59.0,3,3.250743
59.0,3,3.258415
50.0,1,3.259469
59.0,3,3.266767
58.0,4,3.273642
58.0,4,3.276369
50.0,12,3.294106
59.0,3,3.296315
59.0,3,3.302188
59.0,3,3.307508
56.0,6,3.315596
56.0,6,3.324564
57.0,5,3.332444
59.0,3,3.3378
66.0,4,3.34056
58.0,4,3.347091
50.0,1,3.348017
59.0,3,3.354559
57.0,5,3.362884
57.0,5,3.371191
50.0,1,3.372124
56.0,6,3.380311
59.0,3,3.386073
56.0,6,3.393499
54.0,8,3.405759
55.0,7,3.415199
58.0,4,3.422475
57.0,5,3.430513
53.0,12,3.447515
55.0,7,3.460406
52.0,10,3.480694
55.0,7,3.49177
58.0,4,3.498609
57.0,5,3.506612
54.0,8,3.520276
60.0,5,3.528348
59.0,3,3.530858
57.0,2,3.536702
58.0,4,3.539943
57.0,5,3.54776
50.0,1,3.553102
50.0,1,3.554074
50.0,1,3.554982
57.0,5,3.563024
56.0,6,3.57344
50.0,1,3.57453
53.0,9,3.590293
57.0,5,3.599571
56.0,6,3.607251
56.0,6,3.620041
57.0,5,3.628239
-48.0,30,3.672352
57.0,5,3.679401
58.0,4,3.682272
59.0,3,3.687734
59.0,6,3.695302
52.0,10,3.709495
-48.0,30,3.748869
59.0,3,3.754343
63.0,5,3.762393
55.0,7,3.772161
59.0,6,3.781544
50.0,1,3.786864
60.0,5,3.79621
48.0,14,3.815783
57.0,5,3.822546
57.0,5,3.829084
57.0,2,3.834085
58.0,4,3.840177
59.0,3,3.842308
57.0,5,3.848952
57.0,5,3.855752
64.0,6,3.863129
36.0,26,3.906258
61.0,4,3.90954
57.0,2,3.91509
57.0,5,3.924399
74.0,8,3.935821
50.0,1,3.941547
54.0,8,3.952689
56.0,6,3.961608
58.0,4,3.968888
56.0,6,3.978002
57.0,5,3.986756
59.0,3,3.992866
63.0,7,4.002453
52.0,10,4.018977
59.0,3,4.02567
56.0,6,4.035004
50.0,1,4.035867
57.0,2,4.041346
-48.0,30,4.087426
60.0,5,4.095679
-48.0,30,4.148607
50.0,1,4.149646
59.0,6,4.159018
59.0,3,4.166679
57.0,2,4.1684
58.0,4,4.17544
59.0,6,4.184505
58.0,4,4.191537
58.0,4,4.1994
56.0,6,4.209024
58.0,4,4.217534
59.0,3,4.220192
50.0,1,4.225324
57.0,2,4.227188
59.0,3,4.235298
21.0,29,4.286788
55.0,7,4.303409
58.0,4,4.311289
63.0,5,4.320194
-48.0,30,4.370233
56.0,6,4.379381
53.0,9,4.394802
58.0,4,4.397847
57.0,2,4.403491
-48.0,30,4.451886
57.0,5,4.460307
57.0,5,4.469646
55.0,7,4.478808
59.0,6,4.488688
58.0,4,4.49633
54.0,8,4.511966
61.0,4,4.519058
61.0,4,4.521918
59.0,3,4.52769
57.0,5,4.535799
57.0,2,4.537341
57.0,2,4.542267
59.0,3,4.544586
59.0,3,4.551447
64.0,6,4.560812
57.0,2,4.567348
59.0,3,4.569925
43.0,19,4.60616
59.0,3,4.613405
57.0,5,4.623292
59.0,3,4.625968
54.0,8,4.640685
57.0,5,4.648712
56.0,6,4.658158
57.0,5,4.666869
58.0,4,4.674393
-48.0,30,4.716594
57.0,2,4.718032
58.0,4,4.725162
-48.0,30,4.765401
46.0,16,4.786018
50.0,1,4.786844
58.0,4,4.792713
54.0,8,4.805063
58.0,4,4.810784
54.0,8,4.820858
57.0,2,4.825443
50.0,1,4.826235
51.0,11,4.840381
58.0,4,4.846467
59.0,3,4.84857
57.0,5,4.855246
56.0,6,4.867556
50.0,1,4.868557
58.0,4,4.876173
59.0,3,4.878653
50.0,1,4.879461
59.0,3,4.885418
59.0,3,4.89074
54.0,8,4.899595
59.0,6,4.906775
59.0,3,4.912267
55.0,7,4.920573
61.0,4,4.927576
58.0,7,4.938883
65.0,5,4.946897
