#{"t_start": 1753632185.7505076, "env_id": "None"}
r,l,t
47.0,27,1.677543
-34.0,30,1.67954
53.0,17,1.687603
-48.0,30,1.689083
-30.0,30,1.695535
-45.0,30,1.696954
92.0,7,1.697337
54.0,16,1.698084
-48.0,30,1.70559
74.0,7,1.706076
-39.0,30,1.708739
-45.0,30,1.711268
-39.0,30,1.715955
60.0,22,1.717042
-45.0,30,1.71846
-48.0,30,1.71983
50.0,1,1.722944
-23.0,30,1.724944
-25.0,30,1.726967
-48.0,30,1.729473
-36.0,30,1.751225
-45.0,30,1.780446
-39.0,30,1.803466
-23.0,30,1.823271
-45.0,30,1.84626
46.0,24,1.862138
48.0,30,1.882557
63.0,5,1.885537
-45.0,30,1.912868
-48.0,30,1.933378
-42.0,30,1.952655
27.0,29,1.971835
-26.0,30,1.997619
68.0,16,2.007188
-48.0,30,2.023881
-25.0,30,2.047179
32.0,27,2.069354
-42.0,30,2.091924
41.0,21,2.107275
-48.0,30,2.129805
57.0,2,2.134103
89.0,8,2.140162
-45.0,30,2.163602
-45.0,30,2.183267
-48.0,30,2.208278
50.0,18,2.220874
-39.0,30,2.244656
-48.0,30,2.26486
-48.0,30,2.289613
55.0,22,2.304474
-6.0,30,2.329086
-45.0,30,2.345687
-25.0,30,2.371735
-26.0,30,2.393089
-48.0,30,2.417627
-42.0,30,2.438588
-48.0,30,2.463221
65.0,23,2.479226
-48.0,30,2.499568
-31.0,30,2.515939
85.0,20,2.534883
-48.0,30,2.557713
88.0,12,2.565259
-48.0,30,2.585618
-48.0,30,2.612151
53.0,15,2.6245
-48.0,30,2.64516
-48.0,30,2.665374
-39.0,30,2.689737
50.0,12,2.700243
47.0,23,2.71781
-12.0,30,2.739425
50.0,1,2.74653
-48.0,30,2.768609
-48.0,30,2.791948
-48.0,30,2.810622
102.0,20,2.828721
-48.0,30,2.852219
-48.0,30,2.873077
-45.0,30,2.893301
83.0,18,2.908046
101.0,18,2.923986
-42.0,30,2.944124
72.0,15,2.95509
47.0,30,2.979367
-21.0,30,3.000035
61.0,9,3.007147
62.0,6,3.011961
74.0,28,3.035913
-45.0,30,3.057313
-48.0,30,3.078285
-42.0,30,3.098049
-42.0,30,3.12524
57.0,2,3.125974
81.0,27,3.144238
-20.0,30,3.162605
-42.0,30,3.188321
-48.0,30,3.207864
-45.0,30,3.23205
-42.0,30,3.252433
10.0,30,3.278009
79.0,25,3.296757
-9.0,30,3.320624
87.0,24,3.337826
68.0,5,3.345992
-48.0,30,3.365471
-33.0,30,3.38574
-18.0,30,3.408855
-36.0,30,3.441618
57.0,2,3.441924
68.0,8,3.447935
86.0,17,3.459541
-3.0,30,3.484492
-19.0,30,3.506906
59.0,3,3.507612
55.0,7,3.513953
-48.0,30,3.538321
3.0,30,3.55744
-48.0,30,3.576314
-31.0,30,3.593378
-31.0,30,3.621728
61.0,12,3.629619
61.0,18,3.640103
66.0,7,3.646427
57.0,2,3.650535
73.0,24,3.666466
-45.0,30,3.688727
-25.0,30,3.706272
-18.0,30,3.731295
99.0,8,3.736756
-22.0,30,3.758339
24.0,29,3.781966
52.0,26,3.802842
57.0,22,3.821451
89.0,24,3.837181
57.0,2,3.83745
-45.0,30,3.864156
68.0,11,3.869336
-48.0,30,3.887682
-48.0,30,3.904655
21.0,29,3.927684
48.0,30,3.947209
-39.0,30,3.96966
50.0,15,3.980327
93.0,24,4.000337
72.0,21,4.019611
-33.0,30,4.039792
-45.0,30,4.062465
21.0,30,4.085552
50.0,1,4.086066
55.0,28,4.10549
-48.0,30,4.126508
-33.0,30,4.151353
-19.0,30,4.176944
-28.0,30,4.197682
11.0,30,4.216706
-48.0,30,4.237677
-31.0,30,4.263996
59.0,3,4.267668
67.0,28,4.290098
48.0,22,4.310654
-11.0,30,4.330446
63.0,16,4.341455
-12.0,30,4.359858
-45.0,30,4.384737
27.0,29,4.406882
-48.0,30,4.427214
66.0,4,4.430961
-48.0,30,4.457846
-36.0,30,4.478492
58.0,30,4.501867
-45.0,30,4.52151
-48.0,30,4.548297
-48.0,30,4.570049
50.0,1,4.572749
-37.0,30,4.59161
-48.0,30,4.619441
56.0,14,4.630169
76.0,8,4.636014
-48.0,30,4.656874
-36.0,30,4.682019
64.0,6,4.68784
82.0,13,4.698404
-5.0,30,4.718807
-48.0,30,4.747211
17.0,30,4.769071
62.0,8,4.77536
51.0,11,4.783106
-30.0,30,4.807627
-48.0,30,4.83253
-39.0,30,4.85543
62.0,6,4.859043
-36.0,30,4.882327
57.0,5,4.885174
55.0,10,4.892111
91.0,26,4.91465
50.0,1,4.91853
60.0,5,4.922997
-48.0,30,4.948572
70.0,17,4.959597
84.0,11,4.972182
55.0,21,4.988526
-48.0,30,5.008894
32.0,29,5.027269
-39.0,30,5.050504
73.0,11,5.058432
-36.0,30,5.084148
-31.0,30,5.10436
65.0,9,5.115503
49.0,19,5.130232
57.0,2,5.132847
69.0,10,5.139017
-4.0,30,5.168048
76.0,9,5.174786
-30.0,30,5.196791
92.0,7,5.203173
45.0,17,5.220025
62.0,6,5.232113
50.0,1,5.232418
-45.0,30,5.265692
-7.0,30,5.297182
-28.0,30,5.332863
-45.0,30,5.358895
-15.0,30,5.391967
52.0,10,5.403263
