#{"t_start": 1753632985.960206, "env_id": "None"}
r,l,t
-36.0,30,1.949271
-48.0,30,1.979306
-45.0,30,2.007891
71.0,10,2.017639
-30.0,30,2.178124
-39.0,30,2.201191
73.0,22,2.219201
-19.0,30,2.243075
-48.0,30,2.265012
79.0,7,2.270629
55.0,7,2.276541
57.0,2,2.376759
74.0,12,2.386942
72.0,30,2.411052
59.0,19,2.427119
70.0,19,2.442926
-39.0,30,2.469102
57.0,2,2.471188
62.0,17,2.573757
-10.0,30,2.59537
75.0,6,2.600106
56.0,20,2.615659
59.0,11,2.625081
-19.0,30,2.645117
-48.0,30,2.741272
-28.0,30,2.761221
73.0,5,2.764499
62.0,8,2.770106
21.0,30,2.790767
42.0,20,2.805665
32.0,30,2.826147
50.0,1,2.826976
53.0,12,2.932673
50.0,1,2.9337
68.0,5,2.937782
73.0,5,2.941734
58.0,4,2.944895
52.0,13,2.955957
60.0,8,2.972051
60.0,5,2.975991
44.0,18,2.99055
61.0,12,2.998106
49.0,13,3.008243
49.0,16,3.021697
74.0,7,3.027567
73.0,17,3.135423
59.0,6,3.140692
50.0,1,3.14168
52.0,10,3.151199
-48.0,30,3.179153
53.0,12,3.189773
-48.0,30,3.214475
60.0,13,3.225358
65.0,19,3.239559
68.0,10,3.328924
59.0,6,3.333655
-48.0,30,3.354162
58.0,15,3.36425
54.0,8,3.369788
72.0,6,3.374789
69.0,15,3.386474
53.0,9,3.392361
57.0,5,3.395536
-48.0,30,3.509234
78.0,5,3.513115
79.0,7,3.519139
64.0,9,3.526989
46.0,16,3.538651
65.0,8,3.544081
57.0,2,3.545449
70.0,11,3.553187
60.0,5,3.556501
70.0,6,3.561464
57.0,2,3.562891
66.0,4,3.565646
45.0,28,3.589896
55.0,7,3.594828
55.0,7,3.599422
49.0,13,3.691781
47.0,23,3.706661
74.0,16,3.717281
-48.0,30,3.74135
57.0,8,3.747791
58.0,7,3.753367
69.0,7,3.758835
55.0,7,3.764206
59.0,6,3.769275
39.0,23,3.878136
58.0,4,3.881327
60.0,5,3.885432
53.0,9,3.892489
54.0,8,3.898615
56.0,6,3.903501
46.0,19,3.917918
59.0,3,3.920455
51.0,14,3.930853
56.0,9,3.938063
54.0,8,3.943134
59.0,11,3.950635
56.0,6,3.954599
60.0,18,3.965965
52.0,16,4.064325
80.0,6,4.069213
