episode,total_reward,steps
1,50,1
2,-48,30
3,-42,30
4,-48,30
5,-42,30
6,90,10
7,59,3
8,10,30
9,-48,30
10,49,13
11,-48,30
12,-34,30
13,-48,30
14,9,30
15,64,3
16,-25,30
17,-48,30
18,65,30
19,46,30
20,113,21
21,67,15
22,63,7
23,50,1
24,57,2
25,-48,30
26,152,27
27,56,6
28,63,16
29,58,4
30,58,19
31,-28,30
32,58,10
33,81,8
34,-19,30
35,148,30
36,92,18
37,36,30
38,62,8
39,50,1
40,109,27
41,59,3
42,50,1
43,-48,30
44,67,21
45,58,4
46,48,14
47,164,29
48,87,7
49,56,30
50,52,10
51,-37,30
52,61,4
53,97,30
54,-48,30
55,98,30
56,59,3
57,179,22
58,57,2
59,9,30
60,58,4
61,50,12
62,50,1
63,32,30
64,54,30
65,101,30
66,59,3
67,85,30
68,50,1
69,33,26
70,143,20
71,-48,30
72,57,2
73,38,30
74,50,1
75,12,30
76,134,30
77,99,22
78,59,3
79,25,30
80,184,23
81,95,30
82,64,3
83,133,30
84,-9,30
85,155,21
86,50,1
87,166,30
88,65,5
89,-3,30
90,65,19
91,59,3
92,155,30
93,98,13
94,47,30
95,81,30
96,-48,30
97,112,17
98,87,16
99,4,30
100,197,22
101,94,11
102,123,30
103,57,30
104,83,30
105,58,30
106,58,4
107,50,1
108,171,30
109,162,17
110,59,3
111,132,30
112,132,30
113,57,2
114,73,30
115,192,30
116,92,22
117,192,30
118,87,30
119,168,29
120,-9,30
121,42,30
122,58,4
123,98,13
124,3,30
125,61,30
126,105,30
127,59,3
128,29,27
129,56,6
130,57,2
131,-48,30
132,152,30
133,169,30
134,150,21
135,59,29
136,58,4
137,83,30
138,50,1
139,50,1
140,64,3
141,91,14
142,91,30
143,88,30
144,49,13
145,61,23
146,59,3
147,162,30
148,124,30
149,47,15
150,161,22
151,129,30
152,128,30
153,-45,30
154,50,1
155,-48,30
156,164,30
157,192,30
158,-48,30
159,128,22
160,67,11
161,100,14
162,130,30
163,46,16
164,78,9
165,139,19
166,50,1
167,53,9
168,133,30
169,24,30
170,58,4
171,56,30
172,136,21
173,57,2
174,57,5
175,-48,30
176,177,30
177,148,30
178,62,11
179,152,17
180,58,4
181,63,7
182,167,30
183,59,3
184,36,30
185,57,2
186,91,30
187,47,15
188,61,7
189,105,30
190,58,4
191,25,30
192,86,30
193,182,30
194,58,4
195,109,30
196,106,30
197,105,30
198,95,13
199,161,30
200,43,30
201,55,7
202,164,30
203,127,30
